Date;Super95;Diesel;Heizoel;Heizoel-II;Heizoel-III;LPG
26.06.23;1.724,62;1.572,63;1.053,04;699,13;538,56;708,63
19.06.23;1.725,76;1.555,44;1.049,65;703,58;553,15;712,28
12.06.23;1.729,09;1.552,28;1.046,34;688,93;553,54;717,69
05.06.23;1.715,95;1.539,89;1.038,93;696,23;549,51;723,13
29.05.23;1.719,03;1.540,55;1.048,49;697,58;544,09;723,61
22.05.23;1.705,46;1.535,32;1.045,63;686,37;543,19;729,15
15.05.23;1.703,43;1.535,76;1.043,86;688,42;512,07;735,16
08.05.23;1.709,49;1.550,23;1.026,45;701,33;520,41;739,10
01.05.23;1.732,90;1.583,35;1.034,12;708,54;558,59;738,61
24.04.23;1.744,21;1.612,36;1.095,41;710,80;555,80;743,69
17.04.23;1.770,25;1.645,51;1.139,66;698,16;581,91;751,43
10.04.23;1.762,71;1.651,80;1.142,62;704,33;575,06;753,69
03.04.23;1.738,57;1.646,72;1.135,66;695,02;576,21;757,09
27.03.23;1.724,29;1.664,36;1.142,25;685,79;613,13;757,46
20.03.23;1.711,66;1.669,48;1.145,62;694,47;610,75;760,63
13.03.23;1.733,00;1.695,54;1.175,23;710,17;612,01;765,14
06.03.23;1.731,77;1.700,56;1.189,49;716,95;610,19;768,11
27.02.23;1.723,70;1.693,55;1.164,74;707,07;609,31;770,35
20.02.23;1.727,79;1.713,16;1.187,44;716,19;605,92;767,53
13.02.23;1.724,58;1.724,50;1.187,74;729,20;600,56;763,44
06.02.23;1.727,91;1.761,45;1.221,48;704,77;608,47;764,30
30.01.23;1.745,38;1.801,60;1.287,08;703,75;651,82;765,58
23.01.23;1.720,14;1.787,19;1.282,06;701,54;651,69;761,97
16.01.23;1.697,03;1.771,85;1.272,54;706,72;654,07;761,37
09.01.23;1.690,64;1.773,43;1.266,00;703,47;673,04;759,64
02.01.23;1.668,30;1.759,17;1.285,21;711,66;675,13;750,34
26.12.22;1.630,12;1.720,53;1.272,44;717,44;680,60;734,43
19.12.22;1.633,42;1.725,89;1.289,85;705,45;674,57;728,46
12.12.22;1.648,76;1.728,63;1.217,32;712,66;697,80;735,20
05.12.22;1.689,94;1.781,54;1.313,43;754,33;697,42;734,30
28.11.22;1.703,88;1.806,52;1.329,95;750,07;713,72;734,72
21.11.22;1.738,77;1.851,23;1.392,04;773,63;727,80;738,64
14.11.22;1.781,84;1.887,51;1.466,80;806,47;730,46;742,89
07.11.22;1.797,14;1.935,40;1.521,02;807,46;730,96;745,38
31.10.22;1.785,16;1.958,29;1.548,21;805,62;727,65;746,34
24.10.22;1.793,32;1.969,59;1.593,78;811,20;683,94;745,12
17.10.22;1.816,30;1.966,45;1.616,60;787,37;649,25;749,32
10.10.22;1.783,32;1.896,52;1.576,40;810,33;642,67;746,34
03.10.22;1.731,12;1.809,19;1.478,23;793,21;646,96;750,26
26.09.22;1.722,69;1.802,55;1.481,80;772,81;688,10;757,09
19.09.22;1.746,03;1.832,77;1.467,67;789,10;695,87;755,77
12.09.22;1.773,50;1.889,94;1.498,42;800,63;697,20;760,95
05.09.22;1.806,05;1.904,74;1.557,59;802,11;691,58;759,01
29.08.22;1.772,75;1.907,99;1.553,26;823,63;690,31;758,96
22.08.22;1.757,29;1.823,56;1.478,63;805,47;687,65;763,59
15.08.22;1.768,45;1.801,49;1.400,84;813,89;617,94;772,35
08.08.22;1.795,19;1.829,31;1.456,65;816,72;615,60;777,32
01.08.22;1.851,47;1.876,67;1.494,30;831,43;576,69;785,05
25.07.22;1.875,78;1.900,09;1.507,54;820,50;563,67;792,88
18.07.22;1.925,47;1.934,82;1.537,56;811,01;555,97;795,91
11.07.22;1.957,23;1.951,40;1.502,12;834,93;569,45;797,92
04.07.22;1.990,90;1.996,63;1.546,78;847,29;579,51;809,39
27.06.22;2.013,24;2.035,24;1.622,32;853,53;596,93;816,07
20.06.22;2.032,92;2.029,97;1.611,40;858,17;588,08;823,27
13.06.22;2.035,90;1.983,44;1.601,53;854,37;573,54;826,88
06.06.22;2.011,47;1.906,63;1.508,48;840,68;580,33;837,77
30.05.22;1.996,58;1.853,53;1.386,68;832,57;579,76;841,75
23.05.22;1.967,86;1.853,71;1.372,85;821,75;568,93;843,31
16.05.22;1.926,28;1.875,69;1.415,19;823,91;563,49;843,90
09.05.22;1.889,22;1.902,87;1.481,87;832,85;559,92;844,17
02.05.22;1.855,81;1.878,38;1.452,21;830,71;561,47;848,30
25.04.22;1.837,30;1.857,33;1.423,16;825,64;566,71;844,92
11.04.22;1.828,92;1.825,70;1.363,43;778,42;603,53;844,65
04.04.22;1.857,91;1.879,54;1.428,87;798,91;620,87;847,53
28.03.22;1.908,01;1.957,76;1.557,21;796,09;610,67;852,57
21.03.22;1.937,76;1.937,66;1.508,84;803,62;613,42;861,35
14.03.22;2.007,93;2.025,52;1.728,02;835,02;645,48;848,96
07.03.22;1.852,54;1.789,65;1.346,73;774,90;520,17;767,51
28.02.22;1.740,30;1.630,92;1.108,29;719,00;479,99;720,83
21.02.22;1.701,50;1.590,94;1.073,16;709,26;487,42;721,90
14.02.22;1.691,89;1.583,32;1.059,94;701,70;484,42;723,65
07.02.22;1.677,20;1.571,31;1.069,62;681,86;474,10;725,39
31.01.22;1.672,57;1.567,09;1.031,77;670,12;442,35;758,13
24.01.22;1.652,61;1.547,22;1.021,69;663,76;435,33;759,61
17.01.22;1.637,51;1.527,66;993,24;646,93;433,18;761,69
10.01.22;1.628,04;1.510,88;970,13;618,44;424,96;765,34
03.01.22;1.618,23;1.488,38;945,55;626,26;420,04;761,58
20.12.21;1.594,00;1.470,18;916,77;625,61;416,26;762,86
13.12.21;1.600,88;1.476,13;915,39;623,83;427,08;778,39
06.12.21;1.604,84;1.483,55;896,06;626,10;424,75;783,53
29.11.21;1.631,78;1.497,98;953,31;649,02;420,71;781,68
22.11.21;1.645,83;1.502,93;960,20;645,82;420,36;781,25
15.11.21;1.653,94;1.509,49;976,45;649,63;422,48;778,38
08.11.21;1.653,75;1.510,33;968,63;636,01;431,06;771,25
01.11.21;1.643,29;1.507,96;976,40;640,99;428,69;765,96
25.10.21;1.633,45;1.501,01;980,41;644,13;473,29;761,11
18.10.21;1.625,54;1.493,39;963,51;637,75;432,69;755,08
11.10.21;1.603,32;1.466,69;898,46;625,82;426,49;732,18
04.10.21;1.575,23;1.432,14;856,03;613,25;411,93;699,83
27.09.21;1.554,26;1.403,51;828,39;597,93;399,76;678,88
20.09.21;1.554,35;1.390,83;811,95;587,66;399,41;673,07
13.09.21;1.549,74;1.380,97;794,69;586,27;388,40;671,47
06.09.21;1.543,60;1.374,43;797,36;578,98;390,90;667,31
30.08.21;1.536,27;1.368,00;785,26;573,66;386,29;663,12
23.08.21;1.532,29;1.362,32;770,05;564,46;384,79;654,30
16.08.21;1.541,99;1.370,12;781,32;577,08;386,49;653,70
09.08.21;1.543,48;1.372,87;783,86;569,57;386,56;645,80
02.08.21;1.542,28;1.373,43;791,26;577,30;383,06;644,78
26.07.21;1.533,48;1.368,83;776,62;575,15;380,51;644,50
19.07.21;1.534,32;1.371,06;797,14;586,58;380,53;622,97
12.07.21;1.526,07;1.367,94;791,99;576,53;383,22;612,66
05.07.21;1.518,70;1.364,13;787,31;573,98;368,59;605,08
28.06.21;1.508,73;1.358,46;785,69;562,64;368,51;599,62
21.06.21;1.489,86;1.343,98;774,34;550,13;359,85;594,90
14.06.21;1.482,65;1.335,00;763,86;549,69;361,17;594,71
07.06.21;1.471,30;1.328,44;756,96;541,98;364,88;602,81
31.05.21;1.471,20;1.319,16;745,63;532,35;363,40;602,36
24.05.21;1.470,71;1.319,47;741,88;537,78;363,45;604,40
17.05.21;1.470,29;1.315,63;744,91;537,78;359,12;602,91
10.05.21;1.468,92;1.312,69;746,72;550,56;357,63;595,74
03.05.21;1.455,18;1.299,34;764,43;534,60;358,46;616,10
26.04.21;1.452,61;1.296,75;760,32;534,93;358,07;615,40
19.04.21;1.451,60;1.295,16;758,87;539,93;358,79;618,37
12.04.21;1.446,68;1.294,04;750,29;532,52;360,47;621,69
29.03.21;1.439,71;1.294,97;749,04;528,01;355,76;617,04
22.03.21;1.441,88;1.302,29;767,89;539,01;361,40;619,27
15.03.21;1.440,62;1.301,59;777,28;542,50;350,62;616,61
08.03.21;1.419,32;1.285,71;756,34;534,95;360,69;605,60
01.03.21;1.402,42;1.279,19;759,25;558,23;366,20;604,22
22.02.21;1.389,06;1.267,14;756,57;546,32;338,04;599,68
15.02.21;1.368,84;1.249,82;734,86;552,58;321,99;590,19
08.02.21;1.359,03;1.232,92;713,69;533,60;311,28;581,10
01.02.21;1.343,65;1.219,11;695,50;528,70;309,64;578,76
25.01.21;1.341,00;1.216,79;695,24;526,92;290,89;569,09
18.01.21;1.334,72;1.211,93;698,03;511,67;279,33;563,31
11.01.21;1.317,40;1.196,99;683,17;454,08;279,87;554,22
21.12.20;1.276,88;1.156,58;634,67;441,52;304,76;534,71
14.12.20;1.267,85;1.148,27;592,11;439,59;307,69;537,74
07.12.20;1.263,99;1.138,33;590,84;430,37;306,33;534,60
30.11.20;1.262,51;1.131,55;589,28;430,29;304,08;533,65
23.11.20;1.253,39;1.118,53;564,32;422,39;293,25;527,75
16.11.20;1.247,79;1.110,43;567,69;419,37;300,43;525,22
09.11.20;1.235,87;1.097,05;543,51;411,05;299,88;524,16
02.11.20;1.236,97;1.093,82;542,16;399,05;289,87;520,30
26.10.20;1.252,87;1.098,79;549,91;410,39;290,76;515,89
19.10.20;1.262,36;1.101,68;554,16;409,55;291,01;515,27
12.10.20;1.269,32;1.103,44;522,52;406,87;292,78;515,20
05.10.20;1.266,07;1.099,93;512,72;401,24;291,91;512,41
28.09.20;1.263,41;1.098,40;512,06;398,36;288,61;510,32
21.09.20;1.267,35;1.104,05;513,30;398,99;289,54;510,66
14.09.20;1.266,83;1.110,88;526,80;397,93;294,00;514,04
07.09.20;1.274,17;1.123,99;534,88;406,08;295,59;515,23
31.08.20;1.278,55;1.132,39;542,80;406,58;297,57;515,63
24.08.20;1.273,82;1.134,96;547,46;407,18;297,00;517,69
17.08.20;1.272,52;1.136,06;549,55;405,92;296,64;519,31
10.08.20;1.267,46;1.136,36;550,31;397,93;296,12;516,13
03.08.20;1.266,10;1.135,90;549,65;397,45;295,32;515,33
27.07.20;1.274,13;1.140,77;561,17;403,53;296,14;517,16
20.07.20;1.267,25;1.134,17;560,74;404,27;294,35;516,05
13.07.20;1.269,21;1.133,15;570,88;405,04;278,94;511,32
06.07.20;1.259,62;1.125,54;568,12;389,11;279,15;510,36
29.06.20;1.256,44;1.123,40;567,29;385,59;278,11;508,85
22.06.20;1.248,79;1.115,90;568,14;388,57;279,34;508,80
15.06.20;1.231,61;1.107,91;560,98;377,43;279,00;506,55
08.06.20;1.219,05;1.098,17;558,91;367,28;275,16;498,49
01.06.20;1.206,12;1.091,01;550,24;366,30;275,82;491,40
25.05.20;1.194,41;1.081,60;575,82;346,94;255,78;476,16
18.05.20;1.176,62;1.067,56;552,63;332,59;250,86;470,49
11.05.20;1.167,83;1.066,38;553,05;341,46;261,97;472,23
04.05.20;1.160,59;1.070,50;527,21;333,08;262,77;476,12
27.04.20;1.167,36;1.086,17;542,02;340,85;286,75;481,63
20.04.20;1.189,18;1.110,38;576,15;348,80;289,18;488,07
06.04.20;1.205,85;1.129,67;596,92;374,58;284,65;500,72
30.03.20;1.223,31;1.141,84;620,97;389,35;285,52;511,47
23.03.20;1.250,94;1.157,29;618,30;407,56;278,50;522,33
16.03.20;1.303,53;1.199,63;644,36;445,46;359,71;539,12
09.03.20;1.361,62;1.252,42;700,20;495,51;369,00;553,38
02.03.20;1.382,65;1.274,18;710,40;520,29;376,25;560,71
24.02.20;1.405,09;1.292,20;747,49;536,81;377,54;568,41
17.02.20;1.400,02;1.293,80;742,64;545,37;390,61;575,45
10.02.20;1.398,52;1.297,25;732,63;550,76;404,17;580,27
03.02.20;1.404,38;1.310,95;753,26;563,73;405,34;585,92
27.01.20;1.414,60;1.330,68;776,23;581,90;410,08;590,64
20.01.20;1.421,99;1.344,29;794,60;592,73;417,28;593,42
13.01.20;1.427,00;1.357,23;825,43;606,76;414,13;594,49
06.01.20;1.431,22;1.358,66;824,80;592,62;315,00;588,05
16.12.19;1.404,94;1.321,73;811,47;541,73;265,40;583,96
09.12.19;1.408,09;1.317,33;805,33;528,89;249,15;576,86
